Date,Close,Avg_Sentiment
2024-05-30,1.4720376095071086e-05,50.15027611111111
2024-05-31,1.4412855960950128e-05,1.3926
2024-06-01,1.5441047383269976e-05,1.0830222222222223
2024-06-02,1.485471289340282e-05,0.1191516666666667
2024-06-06,1.4576221135447048e-05,0.4620733333333333
2024-06-07,1.4392829832279976e-05,6.712533333333334
2024-06-08,1.282293960646754e-05,1.3907333333333336
2024-06-10,1.2764392556674418e-05,12.8216
2024-06-12,1.2778079037049468e-05,-0.27115
2024-06-14,1.1870857155894082e-05,11.608611666666667
2024-06-15,1.1373613736419744e-05,0.3967066666666667
2024-06-16,1.1809275207990526e-05,10.496395
2024-06-18,1.1171637522392975e-05,0.0903375
2024-06-19,1.1008930288279974e-05,6.646483333333333
2024-06-20,1.136009933520655e-05,0.3767333333333333
2024-06-21,1.096737641331523e-05,10.14786111111111
2024-06-24,1.0884663708514512e-05,-2.44035
2024-06-26,1.280945255119844e-05,3.317639285714286
2024-06-27,1.2480032788299767e-05,0.5661
2024-06-29,1.1535254978398966e-05,21.715191666666666
2024-06-30,1.129166699308786e-05,4.333426666666668
2024-07-02,1.1412917238721529e-05,18.0159
2024-07-07,9.740898865327442e-06,-2.7104999999999997
2024-07-08,8.386343783949773e-06,8.067583333333333
2024-07-09,9.16478271621904e-06,9.130633333333334
2024-07-11,9.202009634062136e-06,16.365000000000002
2024-07-12,8.892443984423003e-06,6.3584
2024-07-13,8.672504801488397e-06,11.9128
2024-07-14,8.706022018129234e-06,35.695616666666666
2024-07-17,1.236917644372646e-05,11.4005
2024-07-18,1.1684709219842151e-05,7.621433333333333
2024-07-20,1.2686997959640374e-05,0.6647333333333333
2024-07-22,1.249190150737867e-05,3.907668888888889
2024-07-23,1.1895940387574104e-05,18.6111
2024-08-06,7.074562365449622e-06,0.2226
2024-08-16,7.4570420324708495e-06,14.745051851851853
2024-08-19,7.297368522944681e-06,10.45697380952381
2024-09-02,7.165010104773535e-06,61.57728999999999
2024-09-04,7.271461474125992e-06,76.98330000000001
2024-09-05,7.349919849039338e-06,0.5630000000000002
2024-09-06,7.097586395431797e-06,18.71136
2024-09-12,7.241245281653145e-06,0.5809333333333333
2024-09-17,7.201012976899815e-06,6.107152380952382
2024-09-26,8.432137091116152e-06,4.202858333333333
2024-09-27,9.52287909751174e-06,0.40139
2024-09-28,1.0693156678045404e-05,11.8122
2024-09-30,1.1309594545409278e-05,0.2833
2024-10-01,1.048366373875091e-05,2.4503333333333335
2024-10-02,9.696832663097048e-06,20.771806666666667
2024-10-04,8.632603110211776e-06,-3.4158100000000005
2024-10-06,9.3393998125039e-06,0.3166
2024-10-11,9.241928295238555e-06,4.936666666666667
2024-10-14,9.652250882393356e-06,-1.8797550000000003
2024-10-25,9.983578602625013e-06,2.997083333333333
2024-10-27,9.056174589182247e-06,0.0
2024-10-29,9.171114390885542e-06,0.0
2024-11-10,1.117848666075494e-05,0.4297666666666666
2024-11-12,1.2991931821525012e-05,1.1853
2024-11-13,1.43554408802983e-05,10.192190444444446
2024-11-14,2.0856281855975356e-05,1.1445520634920636
2024-11-15,2.0629507934191433e-05,28.560409999999997
2024-11-16,2.3429896098594692e-05,0.296
2024-11-17,2.1237463379793544e-05,0.2593361728395062
2024-11-18,2.1197225084555063e-05,0.2716740740740741
